date,modal_price,min_price,max_price,year,month,day_of_year,weekday,spread,lag_1,lag_7,lag_14,lag_30,roll_7,roll_30,roll_90
2020-09-11,5132.656862745098,4978.848039215686,5231.406862745098,2020,9,255,4,252.5588235294117,4787.736263736264,4106.068181818182,4657.904977375566,4061.537037037037,4528.867691825656,4428.77400078534,4398.4805937420115
2020-09-12,5060.846153846154,4940.2721893491125,5100.118343195266,2020,9,256,5,159.84615384615336,5132.656862745098,4085.460606060606,4764.937888198758,4213.989247311828,4668.208484366449,4457.002564336483,4408.548758817289
2020-10-01,4049.8713692946058,3913.9460580912864,4109.854771784232,2020,10,275,3,195.90871369294564,5060.846153846154,4188.958598726114,5015.766666666666,4336.98,4648.338880161947,4447.432276646304,4405.690934911303
2020-10-02,3846.274881516588,3737.60663507109,3946.274881516588,2020,10,276,4,208.66824644549797,4049.8713692946058,4297.002252252252,5041.843373493976,4542.455813953488,4583.949255771139,4424.226245565074,4396.967726524114
2020-10-03,3889.6875,3660.21875,3980.15625,2020,10,277,5,319.9375,3846.274881516588,4552.0,4084.3418803418804,4710.487951807229,4489.333184342568,4396.866230504834,4387.913667690435
2020-10-04,4066.4555555555557,3992.788888888889,4122.544444444445,2020,10,278,6,129.75555555555593,3889.6875,4658.259259259259,3968.8970588235293,4811.556213017751,4404.789798099181,4372.0295419227605,4379.265060655728
2020-10-05,4081.3380281690143,4025.6338028169016,4132.4647887323945,2020,10,279,0,106.83098591549287,4066.4555555555557,4787.736263736264,3733.7818181818184,5122.068783068783,4303.875764446717,4337.338516759435,4368.443344113086
2020-10-06,4183.894480519481,4028.7175324675327,4299.733766233766,2020,10,280,1,271.0162337662332,4081.3380281690143,5132.656862745098,4106.068181818182,5079.169491525424,4168.338281271629,4307.49601639257,4357.461813251474
2020-10-07,4319.410194174758,4187.533980582524,4429.368932038835,2020,10,281,2,241.8349514563106,4183.894480519481,5060.846153846154,4085.460606060606,4054.8529411764707,4062.418858461429,4316.3145914925135,4359.716078566867
2020-10-08,4542.906862745098,4415.191176470588,4620.303921568628,2020,10,282,3,205.11274509803934,4319.410194174758,4049.8713692946058,4188.958598726114,3901.92817679558,4132.852500382928,4337.68054769083,4366.1200128442815
2020-10-09,4665.604910714285,4526.008928571428,4778.973214285715,2020,10,283,4,252.96428571428623,4542.906862745098,3846.274881516588,4297.002252252252,3875.44,4249.89964741117,4364.019378047973,4376.138274379451
2020-10-10,4798.39751552795,4695.086956521739,4894.291925465838,2020,10,284,5,199.20496894409916,4665.604910714285,3889.6875,4552.0,4077.9239130434785,4379.715363915163,4388.035164797456,4383.620769296728
2020-10-11,5057.145077720207,4914.538860103627,5149.58549222798,2020,10,285,6,235.04663212435298,4798.39751552795,4066.4555555555557,4658.259259259259,3987.4155555555553,4521.242438510113,4423.6928155362775,4395.750008899025
2020-10-12,5083.771241830065,4940.895424836602,5188.745098039216,2020,10,286,0,247.8496732026142,5057.145077720207,4081.3380281690143,4787.736263736264,4194.166123778502,4664.447183318835,4453.346319471329,4406.2332065782
2020-11-01,4090.613756613757,3922.021164021164,4116.920634920635,2020,11,306,6,194.899470899471,5083.771241830065,4183.894480519481,5132.656862745098,4323.074380165289,4651.121365618017,4445.597632019611,4404.077803873909
2020-11-02,3841.156387665198,3736.185022026432,3938.5154185022025,2020,11,307,0,202.3303964757706,4090.613756613757,4319.410194174758,5060.846153846154,4556.095744680851,4582.799393259508,4421.76632011909,4396.74559089735
2020-11-03,3742.764705882353,3532.9803921568628,3815.4950980392155,2020,11,308,1,282.5147058823527,3841.156387665198,4542.906862745098,4049.8713692946058,4657.904977375566,4468.493370850545,4391.261644402649,4386.055296779702
2020-11-04,4028.3375,3956.05,4092.225,2020,11,309,2,136.17499999999973,3742.764705882353,4665.604910714285,3846.274881516588,4764.937888198758,4377.455169319933,4366.708298129357,4377.374367690675
2020-11-05,3992.723451327434,3888.349557522124,4078.8716814159293,2020,11,310,3,190.5221238938052,4028.3375,4798.39751552795,3889.6875,5015.766666666666,4262.358874434145,4332.60685761805,4364.6644496895515
2020-11-06,4147.026132404181,4022.104529616725,4270.501742160279,2020,11,311,4,248.3972125435539,3992.723451327434,5057.145077720207,4066.4555555555557,5041.843373493976,4132.341882246141,4302.77961624839,4353.419016143875
2020-11-07,4307.016806722689,4182.9327731092435,4446.504201680672,2020,11,312,5,263.57142857142844,4147.026132404181,5083.771241830065,4081.3380281690143,4084.3418803418804,4021.376962945087,4310.202113794417,4355.644525882654
2020-11-08,4553.676724137931,4416.650862068966,4656.504310344828,2020,11,313,6,239.85344827586232,4307.016806722689,4090.613756613757,4183.894480519481,3968.8970588235293,4087.528815448541,4329.694769304897,4362.169871657568
2020-11-09,4692.227722772277,4537.292079207921,4829.495049504951,2020,11,314,0,292.2029702970294,4553.676724137931,3841.156387665198,4319.410194174758,3733.7818181818184,4209.110434749552,4361.642966124579,4372.845347919983
2020-11-10,4719.5,4646.435483870968,4699.193548387097,2020,11,315,1,52.7580645161288,4692.227722772277,3742.764705882353,4542.906862745098,4106.068181818182,4348.64404819493,4382.090693397306,4378.604807379443
2020-11-11,5134.285714285715,4996.89010989011,5239.065934065934,2020,11,316,2,242.17582417582435,4719.5,4028.3375,4665.604910714285,4085.460606060606,4506.636650235747,4417.051530338143,4391.862380991292
2020-11-12,5029.537037037037,4908.944444444444,5115.29012345679,2020,11,317,3,206.3456790123455,5134.285714285715,3992.723451327434,4798.39751552795,4188.958598726114,4654.75287676569,4445.070811615174,4401.6901807878085
2020-12-01,4055.1805555555557,3930.222222222222,4073.8611111111113,2020,12,336,1,143.63888888888914,5029.537037037037,4147.026132404181,5057.145077720207,4297.002252252252,4641.632080073029,4437.01008839195,4399.018981656578
2020-12-02,3850.3248847926266,3715.4930875576038,3935.2165898617513,2020,12,337,2,219.7235023041476,4055.1805555555557,4307.016806722689,5083.771241830065,4552.0,4576.390376940163,4413.620917885039,4392.098826055509
2020-12-03,3712.5393258426966,3520.7078651685392,3845.1685393258426,2020,12,338,3,324.4606741573034,3850.3248847926266,4553.676724137931,4090.613756613757,4658.259259259259,4456.227891469415,4382.096920104485,4381.124806487577
2020-12-04,4065.641025641026,3996.7948717948716,4135.641025641025,2020,12,339,4,138.8461538461538,3712.5393258426966,4692.227722772277,3841.156387665198,4787.736263736264,4366.715506164951,4358.027078834644,4373.387484550256
2020-12-05,4012.8347639484978,3901.6652360515022,4096.510729613734,2020,12,340,5,194.8454935622317,4065.641025641026,4719.5,3742.764705882353,5132.656862745098,4265.763329586165,4320.699675541425,4361.081534480013
2020-12-06,4160.549828178694,4023.9759450171823,4280.762886597938,2020,12,341,6,256.7869415807554,4012.8347639484978,5134.285714285715,4028.3375,5060.846153846154,4126.658202999447,4290.689798019176,4350.672471657182
2020-12-07,4352.5,4303.535714285715,4409.642857142857,2020,12,342,0,106.10714285714221,4160.549828178694,5029.537037037037,3992.723451327434,4049.8713692946058,4029.9386262798703,4300.777419042689,4353.861051904096
2020-12-08,4563.766917293233,4482.571428571428,4606.827067669173,2020,12,343,1,124.25563909774428,4352.5,4055.1805555555557,4147.026132404181,3846.274881516588,4102.593820813825,4324.693820235244,4361.114762909251
2020-12-09,4742.165625,4617.075,4825.725,2020,12,344,2,208.65000000000055,4563.766917293233,3850.3248847926266,4307.016806722689,3889.6875,4229.99964084345,4353.109757735244,4372.22400411943
2020-12-10,4800.412322274881,4673.60663507109,4874.327014218009,2020,12,345,3,200.72037914691919,4742.165625,3712.5393258426966,4553.676724137931,4066.4555555555557,4385.41006890519,4377.574983292555,4380.066969316423
2020-12-11,5057.985074626866,4947.1567164179105,5164.492537313433,2020,12,346,4,217.33582089552237,4800.412322274881,4065.641025641026,4692.227722772277,4081.3380281690143,4527.173504474596,4410.12988484115,4392.438176935734
2020-12-12,5085.581560283688,4959.106382978724,5193.524822695035,2020,12,347,5,234.4184397163117,5057.985074626866,4012.8347639484978,4719.5,4183.894480519481,4680.423046808194,4440.186120833289,4402.93696060666
2021-01-01,5189.156028368794,5041.921985815603,5258.31914893617,2021,1,1,4,216.3971631205668,5085.581560283688,4160.549828178694,5134.285714285715,4319.410194174758,4827.366789692494,4469.1776486397575,4412.829064625573
2021-01-02,5127.432885906041,4936.825503355704,5238.583892617449,2021,1,2,5,301.7583892617449,5189.156028368794,4352.5,5029.537037037037,4542.906862745098,4938.071487679072,4488.661849411789,4419.564702985351
2021-01-03,5025.693877551021,4813.056122448979,5164.066326530612,2021,1,3,6,351.01020408163276,5127.432885906041,4563.766917293233,4055.1805555555557,4665.604910714285,5004.061053430184,4500.664814973014,4422.6268446959675
2021-01-04,5052.443181818182,4913.893939393939,5163.560606060606,2021,1,4,0,249.66666666666697,5025.693877551021,4742.165625,3850.3248847926266,4798.39751552795,5048.3864186899245,4509.133003849355,4425.886678499115
2021-01-05,5680.5,5573.666666666667,5820.5,2021,1,5,1,246.83333333333303,5052.443181818182,4800.412322274881,3712.5393258426966,5057.145077720207,5174.113229793513,4529.911501258682,4431.6176044250415
2021-01-06,6278.109539473684,6116.4276315789475,6411.027960526316,2021,1,6,2,294.6003289473683,5680.5,5057.985074626866,4065.641025641026,5083.771241830065,5348.4167247716305,4569.722777846802,4444.167180116164
2021-01-07,6181.396907216495,5982.190721649485,6312.417525773196,2021,1,7,3,330.2268041237112,6278.109539473684,5085.581560283688,4012.8347639484978,4090.613756613757,5504.961774333459,4639.41554953356,4467.460622146751
2021-01-08,6440.925925925926,6371.666666666667,6522.777777777777,2021,1,8,4,151.1111111111104,6181.396907216495,5189.156028368794,4160.549828178694,3841.156387665198,5683.78604541305,4726.074534142251,4495.428987438758
2021-01-09,6884.248387096774,6715.651612903226,6978.761290322581,2021,1,9,5,263.10967741935474,6440.925925925926,5127.432885906041,4352.5,3742.764705882353,5934.759688440297,4830.790656849398,4530.667584541085
2021-01-10,7305.689873417721,7080.291139240507,7449.107594936709,2021,1,10,6,368.81645569620196,6884.248387096774,5025.693877551021,4563.766917293233,4028.3375,6260.473402135541,4940.035735963322,4566.158212764244
2021-01-11,7344.56,7217.56,7450.52,2021,1,11,0,232.96000000000004,7305.689873417721,5052.443181818182,4742.165625,3992.723451327434,6587.9186618758,5051.763620919074,4603.767153155279
2021-01-12,7295.792307692308,7131.284615384616,7351.0,2021,1,12,1,219.7153846153842,7344.56,5680.5,4800.412322274881,4147.026132404181,6818.674705831844,5156.722493428679,4638.533686042682
2021-02-01,5204.952662721894,5080.485207100592,5314.443786982249,2021,2,32,0,233.958579881657,7295.792307692308,6278.109539473684,5057.985074626866,4307.016806722689,6665.366580581588,5186.653688628652,4648.677759453182
2021-02-02,5188.342541436464,4954.629834254144,5367.491712707182,2021,2,33,1,412.8618784530381,5204.952662721894,6181.396907216495,5085.581560283688,4553.676724137931,6523.501671184442,5207.809215871936,4656.167314261414
2021-02-03,4963.666666666667,4736.037037037037,5107.425925925926,2021,2,34,2,371.3888888888887,5188.342541436464,6440.925925925926,5189.156028368794,4692.227722772277,6312.4646341474045,5216.857180668416,4659.163610557709
2021-02-04,5044.109137055838,4872.934010152284,5186.406091370558,2021,2,35,3,313.47208121827407,4963.666666666667,6884.248387096774,5127.432885906041,4719.5,6049.587598427271,5227.6774852369435,4661.819833416612
