date,modal_price,min_price,max_price,year,month,day_of_year,weekday,spread,lag_1,lag_7,lag_14,lag_30,roll_7,roll_30,roll_90
2020-08-06,3581.798816568047,3222.284023668639,3769.662721893491,2020,8,219,3,547.3786982248521,3580.8653846153848,3864.014705882353,3722.6,3938.46408839779,3783.584242280704,3710.6129851605347,3695.8567144166777
2020-08-07,3496.2236842105262,3179.7236842105262,3616.2763157894738,2020,8,220,4,436.5526315789475,3581.798816568047,3952.094786729858,3585.1666666666665,3930.5907473309608,3718.459799063657,3696.13408305652,3689.54482853931
2020-08-08,3567.896551724138,3266.7758620689656,3679.155172413793,2020,8,221,5,412.37931034482745,3496.2236842105262,3949.04329004329,3643.076923076923,3877.422857142857,3664.0102650180634,3685.8165395425626,3686.7955309658737
2020-08-09,3562.6585365853657,3228.3536585365855,3702.0426829268295,2020,8,222,6,473.68902439024396,3567.896551724138,3795.3643410852715,3483.99358974359,3559.5544554455446,3630.7665786609336,3685.9200089138903,3687.908773964971
2020-08-10,3468.937853107345,2968.502824858757,3723.9039548022597,2020,8,223,0,755.4011299435028,3562.6585365853657,3505.923076923077,3578.4186046511627,4300.0,3625.482975258686,3658.217937350802,3684.6673427032
2020-08-11,3841.1052631578946,3460.7631578947367,4013.2368421052633,2020,8,224,1,552.4736842105267,3468.937853107345,4120.0,3602.483870967742,3622.133333333333,3585.6408699955286,3665.517001678287,3686.7949011827327
2020-08-12,3949.8088235294117,3497.1911764705883,4180.073529411765,2020,8,225,2,682.8823529411766,3841.1052631578946,3580.8653846153848,3426.051948051948,3630.8967741935485,3638.3470755546755,3676.147403322816,3691.1329101130373
2020-09-01,4017.612648221344,3493.0671936758895,4258.292490118577,2020,9,245,1,765.2252964426875,3949.8088235294117,3581.798816568047,3864.014705882353,3499.7791411042945,3700.606194362289,3693.4085202267174,3696.4052970256416
2020-09-02,3734.512195121951,3349.8048780487807,3933.5365853658536,2020,9,246,2,583.731707317073,4017.612648221344,3496.2236842105262,3952.094786729858,3534.1652892561983,3734.647410206778,3700.0867504222424,3698.0998769714415
2020-09-03,3485.5652173913045,3075.24347826087,3623.8260869565215,2020,9,247,3,548.5826086956517,3734.512195121951,3567.896551724138,3949.04329004329,3543.2,3722.885791016374,3698.165591001953,3694.8836263004805
2020-09-04,3750.285714285714,3318.714285714286,3873.4285714285716,2020,9,248,4,554.7142857142858,3485.5652173913045,3562.6585365853657,3795.3643410852715,3390.6967213114754,3749.689673544995,3710.151890767761,3697.9508670975088
2020-09-05,3572.6438356164385,3370.4520547945203,3696.6575342465753,2020,9,249,5,326.205479452055,3750.285714285714,3468.937853107345,3505.923076923077,3848.5022026431716,3764.504813903437,3700.9566118668704,3696.064858433418
2020-09-06,3607.0222222222224,3251.2166666666667,3759.733333333333,2020,9,250,6,508.5166666666664,3572.6438356164385,3841.1052631578946,4120.0,3889.1111111111113,3731.064379484055,3691.553648903907,3691.9581038249275
2020-09-07,3495.3355263157896,3164.375,3622.407894736842,2020,9,251,0,458.0328947368421,3607.0222222222224,3949.8088235294117,3580.8653846153848,3941.9753086419755,3666.139622739252,3676.6656561597006,3685.432187270722
