date,modal_price,min_price,max_price,year,month,day_of_year,weekday,lag_1,lag_7,lag_14,lag_30,roll_7,roll_30,roll_90,arrivals_lag_1,arrivals_roll_7,spread
2023-03-06,8496.5,7811.5,8920.5,2023,3,65,0,8044.0,9114.625,8209.875,8277.75,8300.938095238094,8023.135963443963,7552.347441758859,0.0,0.0,1109.0
2023-03-07,8932.2,8072.5,9740.53,2023,3,66,1,8496.5,7549.122222222223,8166.428571428572,7785.083333333333,8212.634523809524,8030.42763011063,7566.077071388489,0.0,0.0,1668.0300000000007
2023-03-08,9754.166666666666,8663.75,10548.333333333334,2023,3,67,2,8932.2,7799.444444444444,8519.166666666666,7593.6,8410.217063492064,8068.664852332852,7585.848429413179,0.0,0.0,1884.583333333334
2023-03-10,8677.90909090909,7808.454545454545,9460.272727272728,2023,3,69,4,9754.166666666666,8816.25,7998.636363636364,6241.428571428572,8689.463095238096,8140.683741221742,7617.283614598365,0.0,0.0,1651.818181818183
2023-03-11,8491.258333333333,7841.916666666667,9164.166666666666,2023,3,70,5,8677.90909090909,8230.0,9340.727272727272,7212.5,8669.700108225108,8221.899758537758,7628.022287037037,0.0,0.0,1322.249999999999
2023-04-01,7067.5,6241.666666666667,7759.166666666667,2023,4,91,5,8491.258333333333,8553.125,7621.875,7941.0,8707.022727272726,8264.525036315537,7634.860342592592,0.0,0.0,1517.5
2023-04-02,8225.728571428572,7675.714285714285,8630.714285714286,2023,4,92,6,7067.5,8044.0,5086.666666666667,7841.777777777777,8494.790584415585,8235.40836964887,7626.815898148147,0.0,0.0,955.0000000000009
2023-04-03,8370.142857142857,7523.714285714285,8972.42857142857,2023,4,93,0,8225.728571428572,8496.5,9114.625,11750.0,8520.751808905381,8248.20672943723,7626.053160052909,0.0,0.0,1448.7142857142853
2023-04-04,7888.5,7148.5,8289.333333333334,2023,4,94,1,8370.142857142857,8932.2,7549.122222222223,5360.0,8502.700788497217,8135.544824675324,7632.011228835979,0.0,0.0,1140.833333333334
2023-04-05,8421.42857142857,7918.571428571428,9005.585714285715,2023,4,95,2,7888.5,9754.166666666666,7799.444444444444,8003.710000000001,8353.600788497217,8219.828158008657,7645.570951058201,0.0,0.0,1087.0142857142864
2023-04-07,8968.285714285714,8269.714285714286,9616.785714285714,2023,4,97,4,8421.42857142857,8677.90909090909,8816.25,8401.545454545454,8163.209632034632,8233.75211038961,7656.018922839507,0.0,0.0,1347.0714285714275
2023-04-08,9073.454545454546,8123.272727272727,9720.90909090909,2023,4,98,5,8968.285714285714,8491.258333333333,8230.0,9182.727272727272,8204.692006802721,8252.643452380951,7678.659597442681,0.0,0.0,1597.636363636363
2023-04-09,10755.75,9904.0,11157.25,2023,4,99,6,9073.454545454546,7067.5,8553.125,9579.3,8287.862894248608,8249.001028138528,7717.836870169954,0.0,0.0,1253.25
2023-04-10,8646.75,7286.375,9314.8875,2023,4,100,0,10755.75,8225.728571428572,8044.0,7179.714285714285,8814.755751391465,8288.216028138528,7767.042734367485,0.0,0.0,2028.5125000000007
2023-04-11,7247.857142857143,6812.142857142857,8114.285714285715,2023,4,101,1,8646.75,8370.142857142857,8496.5,7700.111111111111,8874.901669758812,8337.11721861472,7784.833012145262,0.0,0.0,1302.1428571428578
2023-04-12,7855.333333333333,7250.888888888889,8713.888888888889,2023,4,102,2,7247.857142857143,7888.5,8932.2,7593.888888888889,8714.57513914657,8322.042086339587,7777.983805796057,0.0,0.0,1463.0
2023-05-01,6925.833333333333,6522.5,7434.5,2023,5,121,0,7855.333333333333,8421.42857142857,9754.166666666666,8209.875,8709.837043908472,8330.756901154402,7780.820842833093,0.0,0.0,912.0
2023-05-04,9870.714285714286,9080.57142857143,10374.142857142857,2023,5,124,3,6925.833333333333,8968.285714285714,8677.90909090909,8166.428571428572,8496.180581323439,8287.955512265511,7767.263435425686,0.0,0.0,1293.5714285714275
2023-05-05,8030.833333333333,7427.5,8484.916666666666,2023,5,125,4,9870.714285714286,9073.454545454546,8491.258333333333,8519.166666666666,8625.098948670378,8344.765036075036,7777.912112674363,0.0,0.0,1057.416666666666
2023-05-06,8323.363636363636,7473.181818181818,8960.272727272728,2023,5,126,5,8030.833333333333,10755.75,7067.5,7998.636363636364,8476.15306122449,8328.487258297258,7778.732483044732,0.0,0.0,1487.09090909091
2023-05-07,8728.8,7920.6,9360.980000000001,2023,5,127,6,8323.363636363636,8646.75,8225.728571428572,9340.727272727272,8128.669294990724,8339.311500721502,7798.355041967292,0.0,0.0,1440.380000000001
2023-05-08,9028.555555555555,8010.0,9763.888888888889,2023,5,128,0,8728.8,7247.857142857143,8370.142857142857,7621.875,8140.390723562152,8318.913924963925,7817.1958753006265,0.0,0.0,1753.8888888888887
